index,address,path,reference_file,object_id,object_source,classification,symbol_count,procedure_count
0,0x00100200,C:/KS/SRC/files_ai.cpp,KS/SRC/files_ai.cpp,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,57,0
1,0x00100200,C:/KS/SRC/AIController.cpp,KS/SRC/AIController.cpp,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,408,17
2,0x001040B0,C:/KS/SRC/ai_interface.cpp,KS/SRC/ai_interface.cpp,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,427,48
3,0x00106708,C:/KS/SRC/ai_actions.cpp,KS/SRC/ai_actions.cpp,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,38,10
4,0x00106D60,C:/KS/SRC/ai_goals.cpp,KS/SRC/ai_goals.cpp,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,102,17
5,0x00107670,C:/KS/SRC/ai_locomotion.cpp,KS/SRC/ai_locomotion.cpp,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,342,34
6,0x0010A6F8,C:/KS/SRC/ai_locomotion_direct.cpp,KS/SRC/ai_locomotion_direct.cpp,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,48,9
7,0x0010AFB0,C:/KS/SRC/ai_polypath.cpp,KS/SRC/ai_polypath.cpp,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,260,16
8,0x0010D870,C:/KS/SRC/ai_polypath_cell.cpp,KS/SRC/ai_polypath_cell.cpp,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,151,15
9,0x0010F520,C:/usr/local/sce/ee/gcc/include/g++-2/stl_algobase.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,19,2
10,0x0010F5E8,C:/usr/local/sce/ee/gcc/include/g++-2/stl_alloc.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,6,1
11,0x0010F690,C:/KS/SRC/custom_stl.h,KS/SRC/custom_stl.h,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,15,2
12,0x0010F858,C:/usr/local/sce/ee/gcc/include/g++-2/stl_uninitialized.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,7,1
13,0x0010F8B8,C:/usr/local/sce/ee/gcc/include/g++-2/stl_algobase.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,6,1
14,0x0010F918,C:/usr/local/sce/ee/gcc/include/g++-2/stl_uninitialized.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,7,1
15,0x0010F978,C:/usr/local/sce/ee/gcc/include/g++-2/stl_vector.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,37,2
16,0x0010FF08,C:/usr/local/sce/ee/gcc/include/g++-2/stl_list.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,6,1
17,0x0010FF50,C:/usr/local/sce/ee/gcc/include/g++-2/stl_tree.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,76,6
18,0x00110688,C:/usr/local/sce/ee/gcc/include/g++-2/stl_list.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,14,3
19,0x001107B0,C:/usr/local/sce/ee/gcc/include/g++-2/stl_tree.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,6,1
20,0x00110830,C:/usr/local/sce/ee/gcc/include/g++-2/stl_uninitialized.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,12,2
21,0x001108C8,C:/usr/local/sce/ee/gcc/include/g++-2/stl_algobase.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,6,1
22,0x00110918,C:/usr/local/sce/ee/gcc/include/g++-2/stl_uninitialized.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,7,1
23,0x00110970,C:/usr/local/sce/ee/gcc/include/g++-2/stl_vector.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,19,1
24,0x00110D08,C:/usr/local/sce/ee/gcc/include/g++-2/stl_algobase.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,6,1
25,0x00110D38,C:/usr/local/sce/ee/gcc/include/g++-2/stl_uninitialized.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,7,1
26,0x00110D68,C:/usr/local/sce/ee/gcc/include/g++-2/stl_vector.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,19,1
27,0x00111078,C:/usr/local/sce/ee/gcc/include/g++-2/stl_tree.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,78,2
28,0x001116F8,C:/usr/local/sce/ee/gcc/include/g++-2/stl_uninitialized.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,7,1
29,0x00111730,C:/usr/local/sce/ee/gcc/include/g++-2/stl_algobase.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,6,1
30,0x00111760,C:/usr/local/sce/ee/gcc/include/g++-2/stl_uninitialized.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,7,1
31,0x00111790,C:/usr/local/sce/ee/gcc/include/g++-2/stl_vector.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,36,2
32,0x00111CF8,C:/usr/local/sce/ee/gcc/include/g++-2/stl_heap.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,14,2
33,0x00111E68,C:/usr/local/sce/ee/gcc/include/g++-2/stl_list.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,24,4
34,0x00112098,C:/usr/local/sce/ee/gcc/include/g++-2/stl_uninitialized.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,7,1
35,0x001120F8,C:/usr/local/sce/ee/gcc/include/g++-2/stl_algobase.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,6,1
36,0x00112140,C:/usr/local/sce/ee/gcc/include/g++-2/stl_uninitialized.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,7,1
37,0x00112190,C:/usr/local/sce/ee/gcc/include/g++-2/stl_vector.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,19,1
38,0x001124C8,C:/usr/local/sce/ee/gcc/include/g++-2/stl_uninitialized.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,7,1
39,0x00112500,C:/usr/local/sce/ee/gcc/include/g++-2/stl_vector.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,19,1
40,0x00112760,C:/usr/local/sce/ee/gcc/include/g++-2/stl_tree.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,21,1
41,0x001128C8,C:/usr/local/sce/ee/gcc/include/g++-2/stl_algobase.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,10,2
42,0x00112930,C:/usr/local/sce/ee/gcc/include/g++-2/stl_vector.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,21,2
43,0x00112CE8,C:/usr/local/sce/ee/gcc/include/g++-2/stl_uninitialized.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,7,1
44,0x00112D28,C:/usr/local/sce/ee/gcc/include/g++-2/stl_vector.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,23,1
45,0x00113030,C:/usr/local/sce/ee/gcc/include/g++-2/stl_algobase.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,6,1
46,0x00113068,C:/usr/local/sce/ee/gcc/include/g++-2/stl_uninitialized.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,7,1
47,0x001130A0,C:/usr/local/sce/ee/gcc/include/g++-2/stl_vector.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,19,1
48,0x00113400,C:/usr/local/sce/ee/gcc/include/g++-2/stl_uninitialized.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,7,1
49,0x00113440,C:/usr/local/sce/ee/gcc/include/g++-2/stl_vector.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,19,1
50,0x001136F8,C:/usr/local/sce/ee/gcc/include/g++-2/stl_list.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,6,1
51,0x00113740,C:/usr/local/sce/ee/gcc/include/g++-2/stl_algobase.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,10,2
52,0x001137A8,C:/usr/local/sce/ee/gcc/include/g++-2/stl_vector.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,28,2
53,0x00113C70,C:/usr/local/sce/ee/gcc/include/g++-2/stl_algobase.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,10,2
54,0x00113CD8,C:/usr/local/sce/ee/gcc/include/g++-2/stl_vector.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,117,2
55,0x001141A0,C:/usr/local/sce/ee/gcc/include/g++-2/stl_list.h,,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,7,1
56,0x001141E8,C:/KS/SRC/ai_polypath_cell.cpp,KS/SRC/ai_polypath_cell.cpp,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,25,1
57,0x001148A0,entity_interface.h,KS/SRC/entity_interface.h,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,20,8
58,0x00114940,random.h,KS/SRC/random.h,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,4,1
59,0x00114968,C:/KS/SRC/AIController.h,KS/SRC/AIController.h,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,35,16
60,0x00114AB0,C:/KS/SRC/ai_locomotion.h,KS/SRC/ai_locomotion.h,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,27,12
61,0x00114B78,C:/KS/SRC/ai_interface.h,KS/SRC/ai_interface.h,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,174,72
62,0x00115418,C:/KS/SRC/ai_goals.h,KS/SRC/ai_goals.h,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,15,5
63,0x00115500,C:/KS/SRC/ai_actions.h,KS/SRC/ai_actions.h,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,52,22
64,0x00115708,C:/KS/SRC/ai_locomotion_direct.h,KS/SRC/ai_locomotion_direct.h,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,7,1
65,0x00115780,entity_interface.h,KS/SRC/entity_interface.h,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,5,1
66,0x001157D0,C:/KS/SRC/ai_polypath_cell.cpp,KS/SRC/ai_polypath_cell.cpp,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,6,2
67,0x00113290,C:/KS/SRC/files_anim.cpp,KS/SRC/files_anim.cpp,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,17,0
68,0x00113290,C:/KS/SRC/anim_flavor.cpp,KS/SRC/anim_flavor.cpp,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,7,1
69,0x001132F8,C:/KS/SRC/anim_user.cpp,KS/SRC/anim_user.cpp,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,47,3
70,0x001133D8,C:/KS/SRC/entity_anim.cpp,KS/SRC/entity_anim.cpp,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,629,72
71,0x00118E50,C:/KS/SRC/po_anim.cpp,KS/SRC/po_anim.cpp,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,322,41
72,0x0011C700,C:/KS/SRC/scene_anim.cpp,KS/SRC/scene_anim.cpp,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,128,8
73,0x0011DAF0,C:/KS/SRC/signal_anim.cpp,KS/SRC/signal_anim.cpp,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,85,8
74,0x0011E690,C:/KS/SRC/anim_maker.cpp,KS/SRC/anim_maker.cpp,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,34,7
75,0x0011EB60,C:/usr/local/sce/ee/gcc/include/g++-2/stl_algobase.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,19,2
76,0x0011EC28,C:/usr/local/sce/ee/gcc/include/g++-2/stl_alloc.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,6,1
77,0x0011ECD0,C:/KS/SRC/custom_stl.h,KS/SRC/custom_stl.h,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,15,2
78,0x0011EE98,C:/usr/local/sce/ee/gcc/include/g++-2/stl_uninitialized.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,7,1
79,0x0011EEF8,C:/usr/local/sce/ee/gcc/include/g++-2/stl_algobase.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,6,1
80,0x0011EF58,C:/usr/local/sce/ee/gcc/include/g++-2/stl_uninitialized.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,7,1
81,0x0011EFB8,C:/usr/local/sce/ee/gcc/include/g++-2/stl_vector.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,37,2
82,0x0011F548,C:/usr/local/sce/ee/gcc/include/g++-2/stl_tree.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,76,6
83,0x0011FC78,C:/usr/local/sce/ee/gcc/include/g++-2/stl_uninitialized.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,12,2
84,0x0011FD10,C:/usr/local/sce/ee/gcc/include/g++-2/stl_algobase.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,6,1
85,0x0011FD60,C:/usr/local/sce/ee/gcc/include/g++-2/stl_uninitialized.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,7,1
86,0x0011FDB8,C:/usr/local/sce/ee/gcc/include/g++-2/stl_vector.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,19,1
87,0x00120150,C:/usr/local/sce/ee/gcc/include/g++-2/stl_algobase.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,6,1
88,0x00120180,C:/usr/local/sce/ee/gcc/include/g++-2/stl_uninitialized.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,7,1
89,0x001201B0,C:/usr/local/sce/ee/gcc/include/g++-2/stl_vector.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,19,1
90,0x001204C0,C:/usr/local/sce/ee/gcc/include/g++-2/stl_list.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,14,3
91,0x001205E8,C:/usr/local/sce/ee/gcc/include/g++-2/stl_tree.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,6,1
92,0x00120670,C:/usr/local/sce/ee/gcc/include/g++-2/stl_list.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,6,1
93,0x001206B8,C:/usr/local/sce/ee/gcc/include/g++-2/stl_tree.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,177,6
94,0x001215F0,C:/usr/local/sce/ee/gcc/include/g++-2/stl_vector.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,15,1
95,0x001217F8,C:/usr/local/sce/ee/gcc/include/g++-2/stl_algobase.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,10,2
96,0x00121860,C:/usr/local/sce/ee/gcc/include/g++-2/stl_vector.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,15,1
97,0x00121B20,C:/usr/local/sce/ee/gcc/include/g++-2/stl_uninitialized.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,7,1
98,0x00121B58,C:/usr/local/sce/ee/gcc/include/g++-2/stl_algobase.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,6,1
99,0x00121B88,C:/usr/local/sce/ee/gcc/include/g++-2/stl_uninitialized.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,7,1
100,0x00121BB8,C:/usr/local/sce/ee/gcc/include/g++-2/stl_vector.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,36,2
101,0x00122120,C:/usr/local/sce/ee/gcc/include/g++-2/stl_heap.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,14,2
102,0x00122290,C:/usr/local/sce/ee/gcc/include/g++-2/stl_list.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,24,4
103,0x001224C0,C:/usr/local/sce/ee/gcc/include/g++-2/stl_tree.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,131,4
104,0x00122FC0,C:/usr/local/sce/ee/gcc/include/g++-2/stl_uninitialized.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,7,1
105,0x00123070,C:/usr/local/sce/ee/gcc/include/g++-2/stl_vector.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,19,1
106,0x00123418,C:/usr/local/sce/ee/gcc/include/g++-2/stl_uninitialized.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,7,1
107,0x00123450,C:/usr/local/sce/ee/gcc/include/g++-2/stl_algobase.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,6,1
108,0x00123480,C:/usr/local/sce/ee/gcc/include/g++-2/stl_uninitialized.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,7,1
109,0x001234B0,C:/usr/local/sce/ee/gcc/include/g++-2/stl_vector.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,36,2
110,0x00123A18,C:/usr/local/sce/ee/gcc/include/g++-2/stl_algobase.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,10,2
111,0x00123A80,C:/usr/local/sce/ee/gcc/include/g++-2/stl_vector.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,78,2
112,0x00123F48,C:/usr/local/sce/ee/gcc/include/g++-2/stl_tree.h,,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,10,2
113,0x00124008,C:/KS/SRC/instance.h,KS/SRC/instance.h,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,48,2
114,0x00124298,C:/KS/SRC/widget.h,KS/SRC/widget.h,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,15,1
115,0x00124750,debug.h,KS/SRC/debug.h,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,4,1
116,0x00124788,C:/KS/SRC/po_anim.h,KS/SRC/po_anim.h,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,20,7
117,0x00124850,C:/KS/SRC/signal_anim.h,KS/SRC/signal_anim.h,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,5,1
118,0x001248A0,C:/KS/SRC/entity_anim.h,KS/SRC/entity_anim.h,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,61,22
119,0x00124C28,C:/KS/SRC/anim.h,KS/SRC/anim.h,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,4,1
120,0x00124C38,C:/KS/SRC/entity_anim.h,KS/SRC/entity_anim.h,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,4,1
121,0x00124C68,C:/KS/SRC/anim.h,KS/SRC/anim.h,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,4,1
122,0x00124C80,C:/KS/SRC/entity_anim.h,KS/SRC/entity_anim.h,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,4,1
123,0x00124CB8,C:/KS/SRC/anim.h,KS/SRC/anim.h,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,6,1
124,0x00124D08,C:/KS/SRC/entity_anim.h,KS/SRC/entity_anim.h,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,27,9
125,0x00124E20,C:/KS/SRC/anim.h,KS/SRC/anim.h,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,18,6
126,0x00124F10,C:/KS/SRC/linear_anim.h,KS/SRC/linear_anim.h,game/files_anim,C:/KS/SRC/files_anim.cpp,eligible,11,3
