address,size_bytes,size_hex,symbol_name,raw_name,binding,source_file,reference_file,object_id,object_source,classification,status,attempts,best_score,commit,notes_file
0x00100200,8,0x8,get_axis_count__C18AISurferController,get_axis_count__C18AISurferController,global,C:/KS/SRC/AIController.cpp,KS/SRC/AIController.cpp,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,matched,1,100,SELF,notes/functions/00100200_get_axis_count__C18AISurferController.md
0x00100330,8,0x8,get_axis_id__C18AISurferControlleri,get_axis_id__C18AISurferControlleri,global,C:/KS/SRC/AIController.cpp,KS/SRC/AIController.cpp,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,matched,1,100,SELF,notes/functions/00100330_get_axis_id__C18AISurferControlleri.md
0x00105A18,8,0x8,render__12ai_interfacec,render__12ai_interfacec,global,C:/KS/SRC/ai_interface.cpp,KS/SRC/ai_interface.cpp,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,matched,1,100,SELF,notes/functions/00105A18_render__12ai_interfacec.md
0x00105E00,8,0x8,get_ifc_str__12ai_interfaceRC7pstringR7stringx,get_ifc_str__12ai_interfaceRC7pstringR7stringx,global,C:/KS/SRC/ai_interface.cpp,KS/SRC/ai_interface.cpp,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,matched,1,100,SELF,notes/functions/00105E00_get_ifc_str__12ai_interfaceRC7pstringR7stringx.md
0x00105E08,8,0x8,set_ifc_str__12ai_interfaceRC7pstringRC7stringx,set_ifc_str__12ai_interfaceRC7pstringRC7stringx,global,C:/KS/SRC/ai_interface.cpp,KS/SRC/ai_interface.cpp,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,matched,1,100,SELF,notes/functions/00105E08_set_ifc_str__12ai_interfaceRC7pstringRC7stringx.md
0x00106AE8,8,0x8,handle_chunk__7ai_goalR10chunk_fileR7stringx,handle_chunk__7ai_goalR10chunk_fileR7stringx,global,C:/KS/SRC/ai_goals.cpp,KS/SRC/ai_goals.cpp,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,matched,1,100,SELF,notes/functions/00106AE8_handle_chunk__7ai_goalR10chunk_fileR7stringx.md
0x00106C80,8,0x8,set_str__7ai_goalRC7pstringRC7stringx,set_str__7ai_goalRC7pstringRC7stringx,global,C:/KS/SRC/ai_goals.cpp,KS/SRC/ai_goals.cpp,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,matched,1,100,SELF,notes/functions/00106C80_set_str__7ai_goalRC7pstringRC7stringx.md
0x00106C88,8,0x8,get_str__7ai_goalRC7pstringR7stringx,get_str__7ai_goalRC7pstringR7stringx,global,C:/KS/SRC/ai_goals.cpp,KS/SRC/ai_goals.cpp,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,matched,1,100,SELF,notes/functions/00106C88_get_str__7ai_goalRC7pstringR7stringx.md
0x00112C38,8,0x8,get_ifc_num__17generic_interfaceRC7pstringRf,get_ifc_num__17generic_interfaceRC7pstringRf,global,entity_interface.h,KS/SRC/entity_interface.h,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,matched,1,100,SELF,notes/functions/00112C38_get_ifc_num__17generic_interfaceRC7pstringRf.md
0x00112C40,8,0x8,set_ifc_num__17generic_interfaceRC7pstringf,set_ifc_num__17generic_interfaceRC7pstringf,global,entity_interface.h,KS/SRC/entity_interface.h,game/files_ai,C:/KS/SRC/files_ai.cpp,eligible,matched,1,100,SELF,notes/functions/00112C40_set_ifc_num__17generic_interfaceRC7pstringf.md
